Rate,PSNR
PLTL
3.1,48.01765
3.2,48.25566
3.3,48.666916
3.4,48.796535
3.5,49.36793
3.6,49.908524
3.7,50.32887
3.8,50.77464
3.9,51.57204
4.0,52.199303
4.1,54.986927
4.2,56.292385
4.3,58.186466
4.4,Infinity
4.5,Infinity
4.6,Infinity
4.7,Infinity
4.8,Infinity
4.9,Infinity
5.0,Infinity
Lossy
3.1,49.97999
3.2,50.545334
3.3,50.863567
3.4,51.5293
3.5,52.03468
3.6,52.350513
3.7,52.58793
3.8,53.158726
3.9,53.466183
4.0,53.847446
4.1,54.41474
4.2,54.41474
4.3,54.41474
4.4,54.41474
4.5,54.41474
4.6,54.41474
4.7,54.41474
4.8,54.41474
4.9,54.41474
5.0,54.41474
